"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J2";"HRO_TYPE-C-31-M-12";1;"TYPE-C-31-M-12";;;
2;"D-1";"TestPoint_Pad_1.0x1.0mm";1;"D-";;;
3;"D+1";"TestPoint_Pad_1.0x1.0mm";1;"D+";;;
4;"TV1";"SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BR";1;"~";;;
5;"U1";"TQFP-44_10x10mm_P0.8mm";1;"ATmega32U4-A";;;
6;"Key_enter1,Key_+1";"MX-Hotswap-2U-Vertical-ReversedStabilizers";2;"SW_Push_U2";;;
7;"Key_0";"MX-Hotswap-2U-ReversedStabilizers";1;"SW_Push_U2";;;
8;"GND1,5V+2";"TestPoint_Pad_1.0x1.0mm";2;"Power";;;
9;"R8,R7";"R_0805_2012Metric";2;"5.1k";;;
10;"S2";"SW_TS-1187A-B-A-B";1;"TS-1187A-B-A-B";;;
11;"Custom-1,Custom-3,Key_del1,Key_4,Key_6,Key_2,Custom-4,Key_*1,Key_7,Custom-2,Key_8,Key_3,Key_-1,Key_9,Key_1,Custom-5,Key_/1,Key_5,NumLock1";"MX-Hotswap-1U";19;"SW_Push";;;
12;"Y1";"Crystal_SMD_3225-4Pin_3.2x2.5mm";1;"Crystal_GND24_Small";;;
13;"C6";"C_0805_2012Metric";1;"10uF";;;
14;"R1,R4";"R_0805_2012Metric";2;"10k";;;
15;"D1,D14,D8,D6,D4,D2,D10,D11,D7,D5,D23,D19,D12,D3,D13,D18,D25,D9,D16,D20,D21,D17";"D_SOD-123";22;"D_Small";;;
16;"C5,C2,C4,C3";"C_0805_2012Metric";4;"100nF";;;
17;"C1";"C_0805_2012Metric";1;"1uF";;;
18;"R2,R3";"R_0805_2012Metric";2;"22";;;
19;"C7,C8";"C_0805_2012Metric";2;"22pF";;;
20;"F2";"Fuse_1206_3216Metric";1;"500mA";;;
