Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF","C_0805_2012Metric",248.840000,-102.040000,90.000000,bottom
"C2","100nF","C_0805_2012Metric",232.568750,-106.518750,90.000000,bottom
"C3","100nF","C_0805_2012Metric",237.175000,-92.075000,180.000000,bottom
"C4","100nF","C_0805_2012Metric",249.237500,-96.993750,-90.000000,bottom
"C5","100nF","C_0805_2012Metric",244.775000,-110.331250,0.000000,bottom
"C6","10uF","C_0805_2012Metric",244.318750,-93.662500,0.000000,bottom
"C7","22pF","C_0805_2012Metric",237.137500,-110.175000,-90.000000,bottom
"C8","22pF","C_0805_2012Metric",244.775000,-112.712500,0.000000,bottom
"C9","C_Small","C_0805_2012Metric",211.931250,-133.987500,90.000000,bottom
"C10","C_Small","C_0805_2012Metric",192.881250,-134.143750,90.000000,bottom
"C11","C_Small","C_0805_2012Metric",173.831250,-133.987500,90.000000,bottom
"C12","C_Small","C_0805_2012Metric",261.937500,-95.887500,90.000000,bottom
"C13","C_Small","C_0805_2012Metric",261.937500,-134.300000,90.000000,bottom
"C14","C_Small","C_0805_2012Metric",173.831250,-95.887500,90.000000,bottom
"C15","C_Small","C_0805_2012Metric",211.931250,-95.887500,90.000000,bottom
"C16","C_Small","C_0805_2012Metric",192.881250,-95.887500,90.000000,bottom
"C17","C_Small","C_0805_2012Metric",172.243750,-149.381250,-90.000000,bottom
"C18","C_Small","C_0805_2012Metric",200.818750,-149.381250,-90.000000,bottom
"C19","C_Small","C_0805_2012Metric",230.343750,-130.968750,0.000000,bottom
"C20","C_Small","C_0805_2012Metric",250.825000,-149.381250,-90.000000,bottom
"C21","C_Small","C_0805_2012Metric",250.825000,-111.281250,-90.000000,bottom
"C22","C_Small","C_0805_2012Metric",230.343750,-92.868750,0.000000,bottom
"C23","C_Small","C_0805_2012Metric",200.818750,-111.281250,-90.000000,bottom
"C24","C_Small","C_0805_2012Metric",181.768750,-111.281250,-90.000000,bottom
"C25","C_Small","C_0805_2012Metric",162.718750,-111.281250,-90.000000,bottom
"C26","10uf","C_0805_2012Metric",248.100000,-63.950000,0.000000,bottom
